subject_id RMSE_full RMSE_half RMSE_quarter
0 7.3828557617801716 7.3828557617801716 7.3828557617801716
1 7.562891500701299 7.562891500701299 7.562891500701299
2 7.42144761730862 7.42144761730862 7.42144761730862
3 7.359842155739095 7.359842155739095 7.359842155739095
4 7.48880948361921 7.48880948361921 7.48880948361921
5 7.42144761730862 7.42144761730862 7.42144761730862
6 7.6115670525431955 7.6115670525431955 7.6115670525431955
7 7.421447617308621 7.421447617308621 7.421447617308621
8 7.502423319677077 7.502423319677077 7.502423319677077
9 7.556048301309795 7.556048301309795 7.556048301309795
10 7.635842814654772 7.635842814654772 7.635842814654772
11 7.435493204343919 7.435493204343919 7.435493204343919
